Query,RespuestaEsperada
"¡El conductor está muy asustado y dolorido! Me pide que le dé una pastilla que tiene en la guantera para calmarse, ¿se la puedo dar?",Abstenerse de dar cualquier tipo de sustancia o medicación a los heridos sin indicación médica. Tema 6 pagina 80
"Mi amigo se golpeó la cabeza, está desmayado y le sale sangre por la nariz y las orejas. ¿Le meto un algodón para que no sangre?","NUNCA SE DEBEN TAPONAR LAS HEMORRAGIAS POR OIDO NI POR NARIZ. Para evitar el riesgo de asfixia, si existe hemorragia nasal se debe colocar al herido inconsciente en posición de decúbito lateral estable. tema 5 pagina 65"
¡Choqué y estoy llamando a la ambulancia! ¿Qué información les tengo que dar para que vengan rápido?,"- Localización del lugar del accidente (calle, numero, punto kilometrico, localidad, si es una via de doble sentido es preciso informar de la direccion en la que se encuentra el problema)- Características y número de los vehículos implicados. - Número de heridos y toda aquella información que podamos aportar sobre ellos. tema 3 pagina 34"
"El auto volcó, a un amigo le quedó el brazo doblado y no lo puede mover, creo que se lo quebró. ¿Qué le hago?","Cuando se sospeche una fractura de extremidad superior, se procederá, en general, a sostener el peso de la extremidad y a inmovilizarla. Ambas cosas pueden realizarse mediante la aplicación de un ""cabestrillo"" con un trozo de tela o con un pañuelo.. tema 5 pagina 68"
"Hubo un choque y hay una persona herida pero no desmayada, que hago?","El accidentado que conserva su nivel de alerta, responde a estímulos, y está consciente conserva su función respiratoria y su función circulatoria, es decir respira y su corazón está bombeando sangre, por lo que no será necesario continuar con la valoración primaria (el ABC). No obstante el herido consciente, puede tener hemorragias, fracturas o lesiones internas que pueden empeorar su estado de forma brusca, por tanto se le debe vigilar hasta que llegue el personal sanitario, comprobando cada cierto tiempo que no pierde el conocimiento y que no se deteriora su situación.
Recuerde que el herido consciente también puede encontrarse en situaciones que comprometan su vida, como hemorragias abundantes, y puede tener lesiones al nivel de la columna cervical por tanto habrá que guardar las mismas precauciones en cuanto a la retirada del casco y la movilización del cuello.
PAG 44"
"Acaban de chocar enfrente mío y la persona esta en la calle tirada, la muevo a la vereda?","No mover al herido en ningún caso, sobre todo si se encuentra inconsciente, por el riesgo de lesiones en la columna vertebral cervical. Se debe sospechar lesión vértebro-medular en cualquier accidentado que:
• Esté inconsciente y tenga señales de golpes, heridas o hematomas en cuello o cabeza.
• Sea conductor o pasajero de motocicleta o ciclomotor.
• Haya manifestado, en algún momento, no sentir o poder mover alguna parte de su cuerpo.
En estos casos, hay que inmovilizar la región del cuello y no trasladar al herido en vehículo particular. Si hubiera vómitos o hemorragias en boca o nariz se le colocará en la ""posición de defensa"" con las precauciones expuestas en el capítulo correspondiente. Si se trata de un herido que lleve casco, para evitar mayores lesiones cervicales no se le debe quitar ni permitir que alguien se lo retire, salvo que fuera necesario y exista ayuda especializada.
PAG 60"
Chocó un auto y la persona accidentada respira raro,"Es posible hablar de dos tipos de lesiones: traumatismos cerrados (si no hay rotura de los tejidos de la piel) y traumatismos abiertos (se produce una comunicación entre el interior del tórax o abdomen y el exterior).
Ante un traumatismo torácico o abdominal, se deben tener presentes las siguientes consideraciones:
• Lo primero que hay que hacer siempre es solicitar auxilio, pedir ayuda médica y avisar a una ambulancia.
• Un herido que tenga un traumatismo abierto de tórax, generalmente sufre dificultades respiratorias más o menos severas. Si se sospecha lesión pulmonar unilateral (herida penetrante, burbuja de sangre en la herida, etc.), rotar al individuo en la posición de defensa inclinando al paciente hacia el costado lesionado, facilitando así la movilidad respiratoria del pulmón sano.
• Ante cualquier traumatismo abierto, es preciso tener cuidado de no tocar ni manipular la herida; tan solo se colocará un apósito o venda en la zona.
• No dar nunca nada de beber o de comer a estos heridos.
• Cualquier traumatismo en el tórax o en el abdomen puede ocasionar una lesión de alguna víscera interior del cuerpo que, a pesar de su gravedad, no se manifieste exteriormente. Por ello, hay que estar atentos en especial a la posible aparición de síntomas de shock (colapso), lo que supondría un agravamiento del estado de la víctima y la necesidad de atención médica adecuada.
• Toda persona que haya sufrido un traumatismo en tórax o abdomen debe ser sometida a control médico, aunque aparentemente se encuentre en buen estado de salud tras el accidente.
PAG 64"
Choqué y me duele algo en el ojo,"• Ante cualquier lesión ocular (golpe, arañazo o herida), será preciso trasladar al herido a un centro asistencial, prescindiendo de manipular el ojo. Si hubiese algún cuerpo extraño incrustado en el globo ocular, NO se debe retirar en ningún caso.

PAG 65"
Necesito sacar a una persona accidentada de su auto,"Siempre es preferible esperar a que, con ayuda especializada, el ocupante del vehículo pueda ser extraído sin dificultad mediante el corte de chapa, retirada de puertas, etc. Sin embargo, es bueno conocer de qué manera hay que sujetar y movilizar al herido desde el interior del vehículo para no provocarle más lesiones. Los pasos a seguir son los siguientes:
• Observar y cerciorarse de que el cuerpo de la víctima está libre de hierros, volante o cualquier
parte del vehículo que le comprima, y que sus pies no se encuentren enganchados con los pedales.
• Colocarse detrás de la víctima, para poderla sujetar con los brazos de este modo: pasando un brazo por debajo del brazo y la axila del herido, sujetar su muñeca contraria con las manos; el otro brazo, pasando por debajo de la axila del lado opuesto, permitirá sujetar la mandíbula del herido.
• Una vez agarrado de este modo el accidentado, y siempre evitando que su cuello se mueva, se procederá a extraerlo del vehículo.
PAG 77"
¿Qué debería llevar en el botiquín del auto?,"Aunque no es obligatorio, sí es recomendable llevar en el vehículo un pequeño botiquín con los elementos imprescindibles, siempre en condiciones de ser utilizado. Entre el material se puede incluir: guantes ""quirúrgicos"" (a mano, por ejemplo en la guantera), algodón prensado arrollado y estéril, compresas estériles, vendas, gasas y apósitos estériles, una tira de goma elástica de entre cinco y diez centímetros de ancho y no menos de metro y medio de largo, un pañuelo grande, esparadrapo, un par de tijeras, unas pinzas, imperdibles, alguna solución desinfectante y, si sabe utilizarse, una mascarilla para la ventilación artificial. Lo más importante es mantenerlos siempre en condiciones de uso y saber utilizarlos: en caso de desconocimiento o duda, lo mejor es abstenerse. (pagina 17)"
"Vi un accidente pero no sé nada de primeros auxilios, ¿puedo seguir de largo?","No. El socorro y la petición de auxilio es una obligación moral y un deber cuyo incumplimiento castiga el Código Penal como delito de omisión del deber de socorro. Incurre en este delito el que no socorriere a una persona que se hallare desamparada y en peligro manifiesto y grave, cuando pudiere hacerlo sin riesgo propio ni de terceros (multa de tres a doce meses), y también el que, impedido de prestar socorro, no demande con urgencia auxilio ajeno. Una cosa es no saber hacer una cura de urgencia y otra muy distinta no pedir auxilio y no cooperar para que las víctimas sean atendidas. (pagina 16)"
"Chocó un camión que transporta mercancías peligrosas y el conductor no puede actuar, ¿qué hago?","Cualquier persona que advierta la anormal inmovilización o estado del vehículo deberá: abstenerse de actuar o intervenir directamente sobre la mercancía; dar cuenta inmediatamente del hecho a través del nº 112 por el procedimiento más rápido y eficaz; procurar alertar del peligro existente a quienes puedan resultar afectados; y auxiliar, en su caso, a las víctimas, pero absteniéndose de actuar sobre la carga o el vehículo. La comunicación incluirá el lugar del accidente, el estado del vehículo, los datos de las materias peligrosas transportadas (los números consignados en los paneles rectangulares de color naranja) y la existencia de víctimas. (pagina 13)"
"El herido es un niño y no respira, ¿la RCP es igual que en adultos?","La secuencia de RCP explicada para adultos se puede utilizar también en niños que no responden a estímulos y que no respiran. No obstante, el niño se puede beneficiar de las siguientes modificaciones: si el niño está inconsciente y no respira, antes de realizar las compresiones torácicas, dé 5 ventilaciones de rescate (en niños pequeños, la boca del auxiliador cubre la boca y la nariz del niño); comprima el tórax aproximadamente un tercio de su profundidad; utilice 2 dedos para niños menores de un año y una o dos manos para niños por encima de un año según sea necesario. (pagina 50)"
"La ambulancia no llega, ¿puedo llevar al herido al hospital en mi auto?","Como norma general no: el transporte de heridos debe hacerse en vehículos especialmente destinados para tal fin y por personal profesional, y el traslado por particulares ha de ser una actuación absolutamente excepcional. Podría estar justificado cuando no haya sido posible solicitar ayuda sanitaria por ningún medio, o si han transcurrido más de 30 minutos desde que se solicitó la ayuda y ha sido preciso colocar un torniquete a la víctima, o el herido presenta una hemorragia externa incoercible o signos de shock en aumento. En tal caso: mantener alineado el eje cabeza-cuello-tronco, circular a velocidad moderada y sin brusquedades, y el herido siempre debe ir acompañado. (paginas 78-79)"
